name,homepage_url,category_list, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
Medallia,http://www.medallia.com,Big Data|Customer Service|Enterprise Software|Human Resources|Loyalty Programs|Software|Text Analytics," 255,000,000 ",operating,USA,CA,SF Bay Area,Palo Alto,4,2001,2012-09-27,2015-07-21
MINDBODY,http://mindbodyonline.com,Software," 108,869,760 ",ipo,USA,CA,San Luis Obispo,San Luis Obispo,6,2001,2005-10-01,2015-04-20
Nanosys,http://www.nanosysinc.com,Nanotechnology," 144,273,501 ",operating,USA,CA,SF Bay Area,Milpitas,9,2001,2003-04-24,2015-06-02
Proteus Digital Health,http://www.proteusdigitalhealth.com,Biotechnology|Health Care|Mobile|Software," 315,349,979 ",operating,USA,CA,SF Bay Area,Redwood City,10,2001,2001-05-01,2014-06-02
Telogis,http://www.telogis.com,Enterprises|Enterprise Software|Fleet Management|Gps|Navigation|SaaS|Software|Transportation," 120,000,000 ",operating,USA,CA,Anaheim,Aliso Viejo,5,2001,2009-04-03,2015-05-18
Voltari,http://www.voltari.com,Ad Targeting|Advertising|Analytics|Big Data|Machine Learning|Mobile|Predictive Analytics|Real Time|Sales and Marketing," 323,834,120 ",ipo,USA,NY,New York City,New York,6,2001,2001-01-01,2008-01-02
XOJET,http://www.xojet.com,Public Transportation," 153,450,218 ",operating,USA,CA,SF Bay Area,San Carlos,2,2001,2007-09-26,2009-12-16
Arcadia Biosciences,http://arcadiabio.com,Biotechnology," 101,000,000 ",ipo,USA,CA,Sacramento,Davis,5,2002,2005-06-15,2014-05-08
Blue Bottle Coffee,http://www.bluebottlecoffee.com,Coffee|E-Commerce," 115,700,000 ",operating,USA,CA,SF Bay Area,Oakland,3,2002,2012-01-01,2015-06-04
EndoGastric Solutions,http://www.endogastricsolutions.com,Health Care," 247,545,839 ",operating,USA,CA,SF Bay Area,San Mateo,17,2002,2003-06-04,2015-12-01
Five Prime Therapeutics,http://www.fiveprime.com,Biotechnology|Health and Wellness|Health Care," 145,540,487 ",ipo,USA,CA,SF Bay Area,San Francisco,6,2002,2005-02-08,2014-03-26
Freedom Financial Network,http://freedomfinancialnetwork.com,Finance Technology|FinTech|Local Businesses," 235,000,000 ",operating,USA,CA,SF Bay Area,San Mateo,2,2002,2013-12-11,2014-05-05
Hansen Medical,http://www.hansenmedical.com,Health Care," 115,971,247 ",ipo,USA,CA,SF Bay Area,Mountain View,5,2002,2011-12-08,2015-03-25
Intercept Pharmaceuticals,http://www.interceptpharma.com,Biotechnology|Health Care," 418,400,000 ",ipo,USA,NY,New York City,New York,4,2002,2008-07-29,2015-04-01
Intuity Medical,http://www.intuitymedical.com,Health Care|Medical Devices," 124,402,778 ",operating,USA,CA,SF Bay Area,Sunnyvale,10,2002,2010-01-05,2015-07-10
Nanosolar,http://www.nanosolar.com,Clean Technology|Nanotechnology," 540,000,000 ",operating,USA,CA,SF Bay Area,San Jose,7,2002,2003-06-24,2012-06-01
Orexigen Therapeutics,http://www.orexigen.com,Biotechnology|Health Care," 101,000,000 ",ipo,USA,CA,San Diego,La Jolla,3,2002,2004-01-22,2015-09-11
Restoration Robotics,http://restorationrobotics.com,Biotechnology|Health Care," 112,999,999 ",operating,USA,CA,SF Bay Area,Mountain View,4,2002,2007-08-13,2014-11-10
Revance Therapeutics,http://www.revance.com,Biotechnology|Health Care," 156,820,000 ",ipo,USA,CA,SF Bay Area,Newark,5,2002,2007-12-12,2013-10-24
"Roku, Inc.",http://www.roku.com,Consumer Electronics|Entertainment|Hardware + Software," 153,100,000 ",operating,USA,CA,SF Bay Area,Saratoga,8,2002,2008-01-01,2014-10-22
Serious Energy,http://www.seriousenergy.com,Clean Technology," 135,147,224 ",operating,USA,CA,SF Bay Area,Sunnyvale,5,2002,2007-11-01,2011-11-21
Shazam,http://www.shazam.com,Android|Ediscovery|Games|iOS|iPhone|Music," 130,000,000 ",operating,USA,NY,New York City,New York,11,2002,2001-03-01,2015-02-26
Silver Spring Networks,http://www.silverspringnet.com/,Communications Hardware|Technology|Web Hosting," 358,929,976 ",ipo,USA,CA,SF Bay Area,Redwood City,9,2002,2007-04-04,2013-03-27
Sonos,http://www.sonos.com,Consumer Electronics|Hardware + Software|iPhone|Music|Wireless," 453,949,974 ",operating,USA,CA,Santa Barbara,Santa Barbara,9,2002,2005-01-01,2014-12-03
Space Exploration Technologies,http://www.spacex.com,Aerospace|Space Travel," 1,245,460,000 ",operating,USA,CA,Los Angeles,Hawthorne,7,2002,2006-03-01,2015-01-20
VeriSilicon Holdings,http://www.verisilicon.com,Cloud Computing|Manufacturing," 100,948,403 ",operating,USA,CA,SF Bay Area,Santa Clara,10,2002,2003-03-01,2014-07-02
Adaptive Insights,http://www.adaptiveinsights.com/,Analytics|Business Analytics|Cloud Data Services|Software," 176,275,000 ",operating,USA,CA,SF Bay Area,Palo Alto,7,2003,2003-09-01,2015-06-30
Amyris Biotechnologies,http://amyris.com/,Biotechnology|Chemicals|Clean Technology|Renewable Energies," 417,040,423 ",ipo,USA,CA,SF Bay Area,Emeryville,10,2003,2006-10-12,2012-02-27
BioNano Genomics,http://www.bionanogenomics.com,Biotechnology|Health Diagnostics|Maps," 107,182,814 ",operating,USA,CA,San Diego,San Diego,7,2003,2008-03-26,2014-11-20
CardioKinetix,http://www.cardiokinetix.com,Health and Wellness|Health Care|Medical Devices," 135,500,000 ",operating,USA,CA,SF Bay Area,Menlo Park,5,2003,2008-07-15,2014-12-08
Catalyst Biosciences,http://www.catalystbiosciences.com,Biotechnology," 105,114,496 ",operating,USA,CA,SF Bay Area,South San Francisco,9,2003,2006-02-09,2015-06-11
DocuSign,http://www.docusign.com,Cloud Management|Software," 508,099,999 ",operating,USA,CA,SF Bay Area,San Francisco,14,2003,2003-01-01,2015-05-27
GoPro,http://www.gopro.com,3D|Hardware|Hardware + Software|Lifestyle Products|Video|Wearables," 288,205,000 ",ipo,USA,CA,SF Bay Area,San Mateo,3,2003,2010-09-22,2012-12-20
Jazz Pharmaceuticals,http://www.jazzpharmaceuticals.com,Biotechnology|Health Care," 376,999,998 ",ipo,USA,CA,SF Bay Area,Palo Alto,3,2003,2004-03-24,2009-12-07
LinkedIn,http://linkedin.com,Networking|Social Media|Social Recruiting|Software," 103,200,000 ",ipo,USA,CA,SF Bay Area,Mountain View,5,2003,2003-11-01,2008-10-22
MarkLogic,http://www.marklogic.com,Content|Enterprise Search|Enterprise Software|Web Development," 175,563,361 ",operating,USA,CA,SF Bay Area,San Carlos,7,2003,2002-01-01,2015-05-11
MobiTV,http://mobitv.com,Games|Mobile Video|Software|Video Streaming," 142,799,000 ",operating,USA,CA,SF Bay Area,Emeryville,7,2003,2001-06-30,2013-04-01
Mode Media (fka Glam Media),http://www.corp.mode.com,Content Creators|Curated Web|Fashion|Lifestyle|Media|Social Network Media|Video Streaming," 244,600,000 ",operating,USA,CA,SF Bay Area,Brisbane,11,2003,2004-07-01,2015-05-21
Portola Pharmaceuticals,http://www.portola.com,Biotechnology," 249,099,998 ",ipo,USA,CA,SF Bay Area,South San Francisco,5,2003,2003-12-10,2011-12-07
Singulex,http://www.singulex.com,Biotechnology," 127,336,875 ",operating,USA,CA,SF Bay Area,Alameda,7,2003,2006-07-17,2013-09-26
Solazyme,http://www.solazyme.com,Chemicals|Clean Technology," 146,110,000 ",ipo,USA,CA,SF Bay Area,South San Francisco,7,2003,2004-12-01,2010-08-09
Sutro Biopharma,http://www.sutrobio.com,Biotechnology," 116,305,000 ",operating,USA,CA,SF Bay Area,South San Francisco,7,2003,2006-01-01,2013-12-11
Tabula,http://www.tabula.com,Semiconductors," 108,000,000 ",operating,USA,CA,SF Bay Area,Santa Clara,2,2003,2007-08-01,2011-03-28
Tesla Motors,http://www.teslamotors.com,Automotive|Clean Technology," 823,000,000 ",ipo,USA,CA,SF Bay Area,Palo Alto,11,2003,2004-04-01,2012-10-10
TRIA Beauty,http://www.triabeauty.com,E-Commerce," 277,226,267 ",operating,USA,CA,SF Bay Area,Pleasanton,12,2003,2007-05-24,2014-10-09
Vital Therapies,http://www.vitaltherapies.com,Biotechnology|Health Care," 205,868,476 ",ipo,USA,CA,San Diego,San Diego,8,2003,2007-10-10,2014-03-07
Wikimedia Foundation,http://wikimediafoundation.org,Nonprofits|Open Source|Semantic Search|Web Tools," 138,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,8,2003,2008-03-01,2012-12-01
4INFO,http://www.4info.com,Ad Targeting|Big Data Analytics|Mobile Advertising," 320,288,000 ",operating,USA,CA,SF Bay Area,San Mateo,8,2004,2005-03-01,2014-08-01
A10 Networks,http://www.a10networks.com,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting," 118,000,000 ",ipo,USA,CA,SF Bay Area,San Jose,4,2004,2005-01-01,2013-10-03
Achaogen,http://www.achaogen.com,Biotechnology|Health Care," 116,605,707 ",ipo,USA,CA,SF Bay Area,South San Francisco,4,2004,2004-08-01,2013-03-22
Achronix Semiconductor,http://www.achronix.com,Semiconductors," 135,776,263 ",operating,USA,CA,SF Bay Area,Santa Clara,5,2004,2007-01-23,2013-04-09
Apigee,http://www.apigee.com,Cloud Data Services|Enterprise Software," 173,000,000 ",ipo,USA,CA,SF Bay Area,Palo Alto,7,2004,2005-04-01,2014-04-29
Aquantia,http://www.aquantia.com,Semiconductors," 190,624,633 ",operating,USA,CA,SF Bay Area,Milpitas,8,2004,2005-09-27,2015-04-10
Benvenue Medical,http://www.benvenuemedical.com,Health Care," 149,465,921 ",operating,USA,CA,SF Bay Area,Santa Clara,8,2004,2008-01-07,2014-06-18
Birst,http://www.birst.com,Analytics|Business Intelligence|Enterprise Software|Web Development," 129,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,2004,2012-05-01,2015-03-17
BrightSource Energy,http://www.brightsourceenergy.com,Clean Technology|Energy|Solar," 845,000,000 ",ipo,USA,CA,SF Bay Area,Oakland,9,2004,2006-11-01,2013-07-25
Campaign Monitor,http://www.campaignmonitor.com,Software," 250,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,2004,2014-04-16,2014-04-16
CardioDx,http://www.cardiodx.com,Biotechnology|Health Diagnostics," 268,990,356 ",operating,USA,CA,SF Bay Area,Palo Alto,9,2004,2006-07-21,2015-07-03
DFine,http://www.dfineinc.com,Health Care|Medical Devices," 127,342,000 ",operating,USA,CA,SF Bay Area,San Jose,7,2004,2005-12-14,2012-04-01
Direct Flow Medical,http://www.directflowmedical.com,Health Care," 134,347,607 ",operating,USA,CA,Napa Valley,Santa Rosa,5,2004,2007-10-19,2014-12-05
Facebook,http://www.facebook.com,All Students|Colleges|Communities|Identity|Social Media," 2,425,700,000 ",ipo,USA,CA,SF Bay Area,Menlo Park,11,2004,2004-09-01,2011-01-21
FireEye,http://www.fireeye.com,Computers|Network Security|Security," 840,945,776 ",ipo,USA,CA,SF Bay Area,Milpitas,7,2004,2005-01-01,2014-01-10
Hotchalk,http://www.hotchalk.com,EdTech|Education," 235,000,000 ",operating,USA,CA,SF Bay Area,Campbell,2,2004,2008-01-28,2015-11-06
