name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
Eliza Corporation,Health and Wellness," 105,769,230 ",operating,USA,MA,Boston,Beverly,1,1983,2011-06-29,2011-06-29
George Gee Automotive Companies,Automotive," 9,550,000 ",operating,USA,ID,ID - Other,Coeur D'alene,1,1983,2014-04-08,2014-04-08
HealthSmart Holdings,Biotechnology," 15,999,996 ",operating,USA,CA,CA - Other,Boulevard,1,1983,2012-01-13,2012-01-13
Inmagic,Enterprise Software," 7,000,000 ",operating,USA,MA,Boston,Woburn,2,1983,2007-12-01,2009-10-01
Intuit,Accounting|Business Services|Computers|Software," 6,700,000 ",ipo,USA,CA,SF Bay Area,Mountain View,1,1983,2011-01-19,2011-01-19
ITS Compliance,Public Transportation," 5,750,000 ",operating,USA,WI,WI - Other,Sun Prairie,1,1983,2014-03-18,2014-03-18
Keller Williams Realty,Real Estate," 2,000,000 ",operating,USA,TX,Austin,Austin,1,1983,2014-11-05,2014-11-05
Marshad Technology Group,Advertising|Content|Design|E-Commerce|SEO|Web Design," 2,000,000 ",operating,USA,NY,New York City,New York,1,1983,2000-01-01,2000-01-01
Metagenics,Health and Wellness," 28,100,000 ",operating,USA,CA,Anaheim,Aliso Viejo,1,1983,2009-09-18,2009-09-18
Navidea Biopharmaceuticals,Biotechnology|Health Diagnostics," 92,500,000 ",ipo,USA,OH,"Columbus, Ohio",Dublin,3,1983,2014-01-21,2015-05-11
PPG Industries,Clean Technology," 2,100,000 ",ipo,USA,PA,Pittsburgh,Pittsburgh,1,1983,2014-02-03,2014-02-03
RICS Software,Software," 4,125,000 ",operating,USA,IN,Indianapolis,Indianapolis,1,1983,2012-10-05,2012-10-05
SpectraScience,Biotechnology," 5,893,231 ",operating,USA,CA,San Diego,San Diego,5,1983,2009-05-19,2014-01-09
Tut Systems,Public Relations," 21,850,000 ",operating,USA,OR,"Portland, Oregon",Lake Oswego,2,1983,2005-07-19,2006-08-22
Verizon Communications,Communications Infrastructure|Information Technology|Mobile," 30,079,503,000 ",ipo,USA,NY,New York City,New York,5,1983,2010-01-26,2014-02-28
Washington University School Of Medicine,Education," 7,800,000 ",operating,USA,MO,St. Louis,St Louis,1,1983,2013-08-21,2013-08-21
1-800-DOCTORS,Health and Wellness," 1,750,000 ",operating,USA,NJ,Newark,Iselin,1,1984,2011-03-02,2011-03-02
A.C. Moore,E-Commerce," 10,000,000 ",ipo,USA,NJ,NJ - Other,Berlin,1,1984,2009-06-05,2009-06-05
Active International,Advertising," 35,000,000 ",operating,USA,NY,New York City,Pearl River,1,1984,2013-08-07,2013-08-07
Ascentis,Human Resources|Software," 10,273,803 ",operating,USA,WA,Seattle,Bellevue,2,1984,2012-10-12,2014-12-16
Asset Marketing Services,Hardware + Software," 6,000,000 ",operating,USA,MN,Minneapolis,Burnsville,1,1984,2011-07-08,2011-07-08
Band Digital,Internet Marketing," 7,294,000 ",operating,USA,IL,Chicago,Chicago,4,1984,2009-07-15,2012-02-09
Bensussen Deutsch,Advertising|Brand Marketing|E-Commerce|Sporting Goods," 75,000,000 ",operating,USA,WA,Seattle,Woodinville,1,1984,2014-09-26,2014-09-26
Blue Stripe,Fashion," 6,975,000 ",operating,USA,CO,Denver,Boulder,2,1984,2015-05-27,2015-07-08
BookKeeping Express,Accounting|Business Services|Finance Technology|Financial Services," 5,800,000 ",operating,USA,NE,NE - Other,Virginia,1,1984,2015-03-03,2015-03-03
Broadcast International,Software," 21,950,000 ",operating,USA,UT,Salt Lake City,Midvale,2,1984,2010-12-24,2012-03-14
CDW Corporation,Consumers|Hardware + Software," 58,738,637 ",ipo,USA,IL,Chicago,Vernon Hills,1,1984,2015-08-14,2015-08-14
Centene Corporation,Health and Wellness," 21,102,000 ",ipo,USA,MO,St. Louis,St Louis,1,1984,2012-01-06,2012-01-06
Cisco,Communications Infrastructure|Data Center Infrastructure|Hardware|Networking|Software," 2,500,000 ",ipo,USA,CA,SF Bay Area,San Jose,1,1984,1987-01-01,1987-01-01
CVE Group,Electronics," 17,500,000 ",operating,USA,TX,Dallas,Allen,1,1984,2015-08-13,2015-08-13
