name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
Sovran Self Storage,Real Estate,"175,000,000",ipo,USA,NY,Buffalo,Buffalo,1,1982,08/04/14,08/04/14,,,1982
Surgical Care Affiliates,Biotechnology|Health Care,"25,745,170",ipo,USA,AL,Birmingham,Birmingham,2,1982,10/07/07,05/10/11,,,1982
Therma-Wave,Semiconductors,"10,060,000",operating,USA,CA,SF Bay Area,Fremont,1,1982,18/11/05,18/11/05,,,1982
ACE*COMM,Public Relations,"5,000,000",operating,USA,MD,"Washington, D.C.",Gaithersburg,1,1983,01/01/07,01/01/07,,,1983
Akron Global Business Accelerator,,"2,500,000",operating,USA,OH,Akron - Canton,Akron,1,1983,26/09/14,26/09/14,,,1983
Ancestry,E-Commerce|Internet,"333,200,000",ipo,USA,UT,Salt Lake City,Provo,2,1983,01/09/99,16/10/07,,,1983
Arkansas Science & Technology Authority,Business Services|Finance Technology|FinTech|Innovation Engineering,"3,000,000",operating,USA,AR,Little Rock,Little Rock,1,1983,05/08/14,05/08/14,,,1983
BBK Worldwide,Advertising|Analytics|Big Data Analytics|Media,"3,000,000",operating,USA,MA,Boston,Needham,1,1983,15/09/14,15/09/14,,,1983
Ben Franklin Technology Partners of Northeast Pennsylvania,Private Social Networking,"1,700,000",operating,USA,PA,Allentown,Bethlehem,1,1983,29/09/15,29/09/15,,,1983
BEZ Systems,Enterprise Software,"13,100,000",operating,USA,MA,Boston,Boston,3,1983,05/01/05,30/01/08,,,1983
CEL-SCI,Biotechnology,"4,400,000",ipo,USA,VA,"Washington, D.C.",Vienna,1,1983,20/08/09,20/08/09,,,1983
City Sports,Sports,"2,702,000",operating,USA,MA,Boston,Boston,1,1983,10/08/11,10/08/11,,,1983
DRI Corporation,Information Technology,"5,000,000",operating,USA,TX,Dallas,Dallas,1,1983,30/06/08,30/06/08,,,1983
Eliza Corporation,Health and Wellness,"105,769,230",operating,USA,MA,Boston,Beverly,1,1983,29/06/11,29/06/11,,,1983
George Gee Automotive Companies,Automotive,"9,550,000",operating,USA,ID,ID - Other,Coeur D'alene,1,1983,08/04/14,08/04/14,,,1983
HealthSmart Holdings,Biotechnology,"15,999,996",operating,USA,CA,CA - Other,Boulevard,1,1983,13/01/12,13/01/12,,,1983
Inmagic,Enterprise Software,"7,000,000",operating,USA,MA,Boston,Woburn,2,1983,01/12/07,01/10/09,,,1983
Intuit,Accounting|Business Services|Computers|Software,"6,700,000",ipo,USA,CA,SF Bay Area,Mountain View,1,1983,19/01/11,19/01/11,,,1983
ITS Compliance,Public Transportation,"5,750,000",operating,USA,WI,WI - Other,Sun Prairie,1,1983,18/03/14,18/03/14,,,1983
